n_traces,model_filename,atomization_conf,query_time
1000,NotSuccession25,SQLMiner + TraceInfo,186861.6611000,NotSuccession25,SQLMiner + TraceInfo,181464.224
1000,NotSuccession25,SQLMiner + TraceInfo,182647.615
1000,Precedence25,SQLMiner + Support,710.509
1000,Precedence25,SQLMiner + Support,683.511
1000,Precedence25,SQLMiner + TraceInfo,180201.552
1000,Precedence25,SQLMiner + TraceInfo,179373.128
1000,NotSuccession25,SQLMiner + Support,492221.845
1000,NotSuccession25,SQLMiner + Support,475839.899
1000,ChainResponse25,SQLMiner + TraceInfo,1.337273148E7
1000,ChainResponse25,SQLMiner + TraceInfo,1.3084803773E7
1000,RespondedExistence25,SQLMiner + Support,377.585
1000,RespondedExistence25,SQLMiner + Support,350.486
1000,AltPrecedence25,SQLMiner + TraceInfo,480737.504
1000,AltPrecedence25,SQLMiner + TraceInfo,480196.565
1000,ChainPrecedence25,SQLMiner + TraceInfo,363400.058
1000,ChainPrecedence25,SQLMiner + TraceInfo,366275.976
1000,Response25,SQLMiner + Support,618.664
1000,Response25,SQLMiner + Support,643.879
1000,Response25,SQLMiner + TraceInfo,559794.365
1000,Response25,SQLMiner + TraceInfo,556950.956
1000,RespondedExistence25,SQLMiner + TraceInfo,168914.95
1000,RespondedExistence25,SQLMiner + TraceInfo,181354.514
