filename,GraphGenerationTime,GraphVisitTime,SerialisationTime,Total,AtomSize,minL,maxL,S
/home/giacomo/projects/loggen/convert_same/data/test_gen_2_dataful.powerdecl,0.632165,3.07779,36065.1,36068.8,19,1000,1000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_4_dataful.powerdecl,4.50343,5.36066,24250,24259.9,20,1000,1000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_4_dataful.powerdecl,4.72576,5.45919,24490.3,24500.5,20,1000,1000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_4_dataful.powerdecl,4.52897,5.37608,24924.1,24934,20,1000,1000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_4_dataful.powerdecl,4.48955,5.27906,24004.4,24014.2,20,1000,1000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_4_dataful.powerdecl,4.46033,5.24124,24253.5,24263.2,20,1000,1000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_6_dataful.powerdecl,14.069,5.52299,23642.2,23661.8,23,1000,1000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_6_dataful.powerdecl,13.8376,5.62809,23114.3,23133.8,23,1000,1000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_6_dataful.powerdecl,13.4517,5.74197,22974.3,22993.5,23,1000,1000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_6_dataful.powerdecl,13.5211,5.60249,23456.6,23475.8,23,1000,1000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_6_dataful.powerdecl,14.1751,5.77103,23373.4,23393.3,23,1000,1000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_8_dataful.powerdecl,68.4531,4.62231,17214,17287,32,1000,1000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_8_dataful.powerdecl,67.0902,4.61137,16990.8,17062.5,32,1000,1000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_8_dataful.powerdecl,69.6173,4.6969,17248.8,17323.1,32,1000,1000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_8_dataful.powerdecl,71.206,4.66935,16654.6,16730.5,32,1000,1000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_8_dataful.powerdecl,67.2943,4.58963,17181.9,17253.8,32,1000,1000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_10_dataful.powerdecl,233.509,18.9406,21140.5,21393,35,1000,1000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_10_dataful.powerdecl,233.038,18.6363,21147.2,21398.8,35,1000,1000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_10_dataful.powerdecl,237.571,19.2966,21694,21950.9,35,1000,1000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_10_dataful.powerdecl,227.3,18.5816,21272.7,21518.5,35,1000,1000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_10_dataful.powerdecl,234.22,19.1767,21804.6,22058,35,1000,1000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_2_dataful.powerdecl,0.644352,33.075,352900,352933,19,10000,10000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_2_dataful.powerdecl,0.650937,32.0098,352707,352740,19,10000,10000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_2_dataful.powerdecl,0.685957,32.1677,350173,350206,19,10000,10000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_2_dataful.powerdecl,0.649737,32.2171,346613,346646,19,10000,10000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_2_dataful.powerdecl,0.642726,32.1579,352440,352473,19,10000,10000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_4_dataful.powerdecl,4.56237,44.8081,237894,237944,20,10000,10000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_4_dataful.powerdecl,4.5287,44.6524,238728,238778,20,10000,10000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_4_dataful.powerdecl,4.52138,44.9966,242097,242146,20,10000,10000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_4_dataful.powerdecl,4.57696,44.89,240600,240649,20,10000,10000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_4_dataful.powerdecl,4.77568,44.2827,244478,244527,20,10000,10000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_6_dataful.powerdecl,13.0729,41.7733,223750,223805,23,10000,10000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_6_dataful.powerdecl,13.2913,41.142,224289,224343,23,10000,10000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_6_dataful.powerdecl,13.4565,41.0001,224534,224589,23,10000,10000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_6_dataful.powerdecl,13.5218,41.261,227379,227433,23,10000,10000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_6_dataful.powerdecl,13.064,40.8301,225151,225204,23,10000,10000,100
